mssv,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8,dtbhk_9,dtbhk_10,dtbhk_11,dtbhk_12,dtbhk_13,dtbhk_14,dtbhk_15,dtbhk_16,dtbhk_17,dtbhk_18,dtbhk_19,dtbhk_20,dtbhk_21,dtbhk_22,dtbhk_23,dtbhk_24,dtb_toankhoa
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,6.45,5.86,6.54,5.67,2.27,5.52,6.17,4.83,0,7.28,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.6
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,8.19,7.95,7.63,8.38,8.41,8,7.65,8.22,7.65,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.14
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,4.73,1.79,4.02,3.89,6.15,4.3,0.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.62
20D5A706XPvAibaEXe99yNsueYx+sS7cA4Tr2w8n,7.44,7.51,7.24,7.15,7.24,7.23,8.15,8.4,8.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.62
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,6.89,5.85,7.3,6.86,7.55,7.39,7.13,7.21,7.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.24
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,7.86,6.76,7.62,7.25,5.95,7.63,5.7,8.28,7.79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.46
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,7.18,5.66,5.64,6.33,4.58,4.78,7.18,7.06,7.8,8.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.01
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,7.38,5.17,6.63,6.69,5.83,6.54,1.6,6.44,6.03,7.31,8,0.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.5
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,8.32,5.82,4.83,3.45,0,5.19,3.48,8.2,5.7,1.46,7.38,4.58,0,1.6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.28
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,5.78,6.16,7.97,7.74,8.53,7.3,7.17,6.98,7.57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.45
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,7.31,7.47,7.63,7.79,8.06,8.1,7.87,8.83,8.9,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.02
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,7.21,6.24,7.7,5.65,5.8,3.93,1.2,1.1,0,0.15,4.68,5.82,2.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.52
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,8.12,7.95,8.28,8.32,7.68,7.6,7.5,8.47,8.6,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,8.3,7.67,8.57,7.58,7.09,7.89,6.2,8.58,8.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.87
A34A5122XPvAibaEXe8SRUt3BATKgUdpn4Nf+Cwx,5.95,4.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.43
152920E2XPvAibaEXe8SRUt3BATKgareMyi/MAyS,4.75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.75
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,7.79,7.14,7.95,7.33,7.02,6.71,7.25,8.47,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.45
C525BEB8XPvAibaEXe8SnnwrtS3HXFn8EPKpfV2M,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,7.71,5,8.16,7.24,7.43,8.17,8.07,7.5,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.78
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,7.49,6.17,6.27,7.45,7.47,5.91,2.74,6.77,2.27,0,7.2,3.64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.53
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,7.61,5.69,5.67,5.78,3.13,1.47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.85
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,3.75,0.46,4.6,0.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.12
